,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_000080-T1,11,11.5,13,510.42,48.33,45,82,88,35.5
Tatro_000081-T1,0,1,0,7,0,0,1,0.5,1
Tatro_000082-T1,0,0,0,0,1,0,0,1,0
Tatro_000083-T1,2,3,1,69,9.33,11,14.5,17,3
Tatro_000084-T1,7,4.5,3,38,6,11,18,17,9
Tatro_000085-T1,22,19,12,374.17,34,40,294.33,288.5,145.5
Tatro_000086-T1,3,3,0,31.67,7,5,12.33,9.5,7
Tatro_000087-T1,4,2,1,15,3,5,7,11,4
Tatro_000088-T1,69.5,75.5,69.83,572.25,77.33,73.67,806.42,779.33,372.67
Tatro_000088-T2,69.5,75.5,69.83,572.25,77.33,73.67,806.42,779.33,372.67
Tatro_000089-T1,352,328.5,449.5,2691.42,263.5,279,517.33,432.5,233
Tatro_000090-T1,30.83,31,25.83,395.33,29.5,29.5,68.17,74.83,39
Tatro_000090-T2,30.83,31,25.83,395.33,29.5,29.5,68.17,74.83,39
Tatro_000091-T1,77,68,42.5,4849.17,332.33,394.33,564.5,513.5,186.5
Tatro_000092-T1,591,573,707.75,4687.92,587.33,626,1322.5,1156.67,630.33
Tatro_000093-T1,1983.33,1519.83,1733.42,16475.08,1362.33,1400,2946.33,2529.83,1143.33
Tatro_000094-T1,127,133.83,114.5,814.25,72.25,81.5,84.5,105,41
Tatro_000095-T1,178.5,165.5,147,2762.5,213,290.25,683.83,618.5,325.5
Tatro_000096-T1,1180.67,1172,1136.83,11004.92,918.33,1029.25,1421.17,1413.25,626.33
Tatro_000097-T1,7,9.5,6,174,17.5,17.5,34,36,14
Tatro_000098-T1,370.33,372.83,410.5,4063.45,359.5,363,597.5,510,270
Tatro_000099-T1,431,450.83,468.67,4705.08,501.5,501.5,717.5,723.17,337.5
Tatro_000100-T1,300,326,308,3771.42,346.5,395,1699.33,1565.83,698
Tatro_000101-T1,3672.17,2932.5,3403.17,26381.75,2046.33,2197.83,3835,3328,1691.5
Tatro_000102-T1,3961.08,3441.67,3808.62,25596.42,2545.67,2744.33,4803.83,4506.42,2260.33
Tatro_000103-T1,605.5,548.5,555,5724.25,552,582.83,926,744,365
Tatro_000104-T1,733.5,1114,1251.33,3343.42,783,786.83,1315.5,1180.5,719.83
Tatro_000105-T1,84,56.5,12,4677.53,289,338.5,728.5,766.7,302
Tatro_000106-T1,690,639.5,606.5,5379.42,562.33,677,1493.5,1334.5,728.5
Tatro_000107-T1,10,10,6,164.5,18,19,38,18,15
Tatro_000108-T1,3823,4291.96,5386.58,16821.45,2061.17,2517.83,2253,2025.83,1215.33
Tatro_000109-T1,466,351.5,388.75,3902.17,389.83,421.5,789.33,712.5,326.5
Tatro_000110-T1,383.83,316,370,2246.67,198,209.5,424,338,182
Tatro_000111-T1,707,893.5,987.08,4978.5,876.75,953.25,1568.17,1428.5,749.83
Tatro_000112-T1,437.08,357.33,381.33,3161.08,295.58,290.5,752,627,291.83
Tatro_000113-T1,4155.25,3838.92,4289.67,29317.78,3008,3259.67,4923.33,4942.42,2497.5
Tatro_000114-T1,194.5,148.25,179.83,2086.25,147,142,327.33,286.92,109.67
Tatro_000115-T1,483.5,458.75,463,3055.75,337,350,659.67,572.5,303.33
Tatro_000116-T1,512.33,643,631,5071.25,671,739.83,801.83,742,410.5
Tatro_000117-T1,315,319.83,358.83,2562.58,271.83,310.33,519.33,412.17,214
Tatro_000118-T1,157.5,161.5,227.37,2223.53,205.83,224.83,541.33,555.17,290
Tatro_000119-T1,356,409,283.75,3459.83,390.83,388,448.5,394.5,209.5
Tatro_000120-T1,1467.33,1554,1661.67,48381.78,4656,5041.67,26346.45,23400.29,11776.67
Tatro_000121-T1,698.5,694.67,1074.83,31180.75,3626.83,3512.67,17655.83,16372.87,7912.83
Tatro_000122-T1,770.5,677.83,510,9883.25,839.33,920,1649.58,1550.5,709.5
Tatro_000123-T1,604.5,589.5,280.5,4549.33,448,509.5,1074.75,909,432
Tatro_000124-T1,4,7,3,56.33,8.5,6,17.5,13,7
Tatro_000125-T1,0,0,0,0,0,0,0,0,0
Tatro_000126-T1,1203.33,824,490.83,5505.25,575.5,583.58,1628,1426.5,602.67
Tatro_000127-T1,244,307.5,335.83,554,71,103.5,202,151.5,104
Tatro_000128-T1,2252.33,2264.5,2342.33,10638.92,1107.75,1050.5,5411.92,5040.53,2668.83
Tatro_000129-T1,74.5,60.5,63.5,696.33,65,54.5,104.5,101.83,50
Tatro_000130-T1,13.5,20,21,133,18,20.5,50.5,57,22.5
Tatro_000131-T1,73,107,93,610.67,89,105.5,272.5,250,130
Tatro_000132-T1,0,0.5,0,1,0,0,3,0.5,0
Tatro_000133-T1,3,2.5,4,10,3,6,10,8,4
Tatro_000134-T1,608.83,474.75,446.33,7727.75,615.83,624.5,1733.42,1421.83,677.5
Tatro_000135-T1,30,23,27,1612.83,186.5,187,268.5,230.5,114
Tatro_000136-T1,525.33,696,440.5,5066.75,377.67,424.5,1173.17,1209.75,497.5
Tatro_000137-T1,95.5,90,95.5,1079.25,131.5,161.33,219,222.5,100.5
Tatro_000138-T1,1831.83,1410.33,1144.75,6088.5,486.25,554.08,907.5,721,323
Tatro_000139-T1,2,1,0,18,3,2,4,9,3
Tatro_000140-T1,0,0,0,0,0,0,0,0,0
Tatro_000141-T1,89,93.5,121.5,752,89.5,109.5,159,132,69
Tatro_000142-T1,59.33,54.33,40.5,388,60.5,51.5,80.5,76,31.5
Tatro_000143-T1,619,636.58,592.33,5320.03,587.5,664.5,2372.33,2102.17,1161
Tatro_000144-T1,125,77.5,33,1195,164.5,180,280.25,288,145
Tatro_000145-T1,126,123.5,161,1148.83,144.5,176.5,327.5,308.83,130.5
Tatro_000146-T1,656.83,569,812.5,4638.58,425.17,562,797.25,738,409.5
Tatro_000147-T1,682,638.17,643,3041.17,374.75,392.5,622.5,535.25,273
Tatro_000148-T1,2115.5,1776.17,1987.92,19091.82,1540.25,1602.08,3681.17,3238.33,1557.83
Tatro_000149-T1,589.75,637.5,695.87,5790.7,583.25,590.33,1040.5,978.5,448
Tatro_000150-T1,20.5,24.5,25.5,287.5,27.5,29,72,51.5,30
Tatro_000151-T1,130.83,204.5,154.5,6096.37,626.5,637.5,1555.33,1568.5,747
Tatro_000152-T1,1,1.5,0,28.33,2,1,0.5,4,2.5
Tatro_000153-T1,19.67,25.83,14.5,245,22.33,32,34.5,20.83,11
Tatro_000153-T2,19.67,25.83,14.5,245,22.33,32,34.5,20.83,11
Tatro_000154-T1,462,703.33,494.83,5313.92,716,737,774,713.5,386.5
Tatro_000156-T1,598.5,682.33,609.5,5193.17,543,572.5,1314.17,1109.5,594.5
Tatro_000157-T1,669,544.08,708.5,5839,540.25,565.5,1105,929.5,562
Tatro_000158-T1,320.33,294,373.83,2370.67,277,292.5,527.5,426,231.33
Tatro_000159-T1,720,776.5,835,7981.67,704.95,715.83,1522.83,1343.83,546
Tatro_000160-T1,0,0,0,0,0,0,0,1,0
Tatro_000161-T1,0,0,0,0,1,0,1.5,0,0
Tatro_000162-T1,27.5,14,11.5,21.5,0.5,5,2,1,1
Tatro_000163-T1,0.5,1,0.5,3,0,1,0,0,0.5
Tatro_000164-T1,10.5,7.5,12.5,117.15,8,11,12.5,10,5
Tatro_000165-T1,0,1,0,2,1,1,0,1,0
Tatro_000166-T1,223,108,53.5,5146.17,530,639.33,968,827.75,333
Tatro_000167-T1,250,211,262.5,1681.5,195.83,223,299.5,279,142.5
Tatro_000168-T1,6999.42,7404.83,9369.58,37924.03,5113.62,5692.33,7162.42,6086.83,3452.83
Tatro_000169-T1,15.5,5,7.5,68.33,6.5,7,12,5,8
Tatro_000170-T1,14.5,15.25,20.5,207.83,24.5,12,20.5,29,13
Tatro_000171-T1,0,1,1,1,0,0,0,0,0
Tatro_000172-T1,331,258,321.5,4133.92,286.33,313.5,761,655,292
Tatro_000173-T1,4742.78,3138.33,3777.25,31218.62,2836,2843.83,5833.67,5036.58,2489.83
Tatro_000174-T1,0,0,0,6,0,1,1,0,0
Tatro_012397-T1,470,542.17,692.42,4959.68,609.33,634.67,1165.75,1111.08,609.2
Tatro_000175-T1,434.5,500.67,636.92,4676.27,563.83,598.42,1083.75,1016.08,580.2
Tatro_000176-T1,158,175.5,121,2931.17,319.5,296.5,2412,2321,1080
Tatro_000177-T1,1368,1403.42,1886,11230.67,1328.83,1380,1674.83,1624,764.5
Tatro_000178-T1,437.33,446.25,355.5,3284.5,366,428,774,620.75,363.5
Tatro_000179-T1,1581,1301.42,1266.33,8804.33,860,977.33,2169,1911.5,914.33
Tatro_000180-T1,1053.33,873.25,996.17,9862.75,846.5,851,1755.5,1585.5,706
Tatro_000181-T1,178.5,141.5,218,1103.58,105,102.5,198.5,193.5,82
Tatro_000183-T1,551.17,567.53,626.17,4614.08,459.83,502.33,834.5,763.67,361.33
Tatro_000182-T1,33.33,30.83,50.83,340,29.67,30.33,50,56.67,23.33
Tatro_000184-T1,589.5,445.5,541.5,3300.5,309.5,309,785.33,670.5,392
Tatro_000185-T1,1299,1174.67,1082.2,6974.83,677.17,752.5,1048.67,888.17,432.75
Tatro_000186-T1,319.5,343,353.75,5144.33,538.5,596.83,915,831.5,453.5
Tatro_000187-T1,24.5,31.5,42,380.83,60,45,79,48,19
Tatro_000189-T1,9.5,5,8.5,67,8,7.5,9,9,2
Tatro_000190-T1,0,0,0,0,0,0,2,0,0
Tatro_000191-T1,2,4,2,37.33,6,4,5,5.5,3
Tatro_000192-T1,194.83,237.33,213.5,5042.08,638.5,679,1012,941.5,466
Tatro_000193-T1,395.5,426,473,5098.75,530,571.5,1091,1019.5,434.5
Tatro_000194-T1,43,38,31.5,502.33,36.5,48.5,63.5,80,37.5
Tatro_000195-T1,182.5,175.83,214,2308.25,254.5,248,433.5,425.5,179
Tatro_000196-T1,38.5,43.17,51.5,229.83,24.5,22,44.33,37,15
Tatro_000197-T1,43.5,37,33,675,54.5,46,236,242.5,89
Tatro_000198-T1,91,74.5,69.5,618.5,40,48,34,49.5,17
Tatro_000199-T1,67,45.5,33.5,469,45.5,63.5,54,58,25.5
Tatro_000200-T1,0,0,1,5,0,0,0,0,0
Tatro_000201-T1,1,0,0,2,2,1,4,5,0
Tatro_000202-T1,37.5,46,45.17,634.58,48.67,60.67,119.5,103.33,44.5
Tatro_000202-T2,37.5,46,45.17,634.58,48.67,60.67,119.5,103.33,44.5
Tatro_000203-T1,121.33,121,111.33,1442.33,107.5,131.5,202.5,199.5,105.5
Tatro_000204-T1,15.33,18,21.83,183.83,14.5,22.5,32.5,32,12
Tatro_000205-T1,0,0,0,4,0,0,1,0,2
Tatro_000206-T1,5,2,0,2,0,2,4,0,2
Tatro_000207-T1,39.5,51,34,375.5,31,37,73.5,75,24
Tatro_000208-T1,46,60.5,54,583.83,73.5,84,127,104,46.5
Tatro_000209-T1,41.5,43.5,35.5,551.5,45.5,36.5,71,68.5,30
Tatro_000210-T1,0,4,6,46,3,10,16,16,9
Tatro_000211-T1,0,0,0,0,0,0,0,0,1
Tatro_000212-T1,391,401.5,466,3436,355.33,396.5,619,617.67,298.5
Tatro_000213-T1,0,0,0.5,0,0,0,0,0,0
Tatro_000214-T1,0,0,0,1,0,0,0,0,0
Tatro_000215-T1,3,0,1,54.7,4,7,5,4,2
Tatro_000216-T1,1174,1296.33,1206,12128.17,1280.5,1406.5,3067.5,2815.67,1398.58
Tatro_000217-T1,283.83,247,268,3097.33,250.25,278.5,585.67,578.83,244
Tatro_000218-T1,279,331.5,328.33,2161.17,272.5,311.33,806.75,744.5,376.5
Tatro_000219-T1,27,27,40,165.17,16.5,14.5,26.5,25.5,14
Tatro_000220-T1,21.5,33,35,258.17,21.83,34.5,37,30,20
Tatro_000221-T1,0,0.5,0,6,1,0.5,1.5,1,0.5
Tatro_000222-T1,62.33,64.17,59.75,706,56.83,56.83,91,91.83,38
Tatro_000222-T2,62.33,64.17,59.75,706,56.83,56.83,91,91.83,38
Tatro_000223-T1,13,23,13,182.5,29,23.33,43,58,15
Tatro_000224-T1,0,0,0,10,0,1,0,0,0
Tatro_000225-T1,0,1,1,14.5,0,5,0,5,1
Tatro_000226-T1,11.5,17,12,94,16,12,21,12.5,16
Tatro_000227-T1,4364.33,4270.25,4416.92,40676.62,3983.33,4122.67,7352.7,6532.5,3040
Tatro_000228-T1,22.5,30,18,177,23,14,36.5,36.5,15
Tatro_000229-T1,834.5,745.92,917.5,10602.58,1039.5,1139.5,2208.83,1914,906.5
Tatro_000230-T1,9,13,11.5,138,13,15.5,17.5,25,10
Tatro_000231-T1,199.5,135,214,1295.25,120,121,206.5,220.5,112.5
Tatro_000232-T1,1115,916,842.17,9946.08,875,954.83,1682.58,1550,763.5
Tatro_000233-T1,217.08,117.83,2087.58,65540.01,7016.83,7760.62,10462.75,10887.67,6909.07
Tatro_000234-T1,542.08,564.67,1381.08,37145.93,3561.83,4101.78,10191.83,9837,5876.73
Tatro_000235-T1,11.5,14.5,8.5,273,30.5,30,34.5,30,7
Tatro_000236-T1,8.5,9,3,54.5,4,4,15,4,0
Tatro_000237-T1,14,15,15.83,161.08,19.5,15,35,36.33,12.5
Tatro_000238-T1,34,29,26.33,453.08,31,21.5,63,68.83,26.5
Tatro_000239-T1,255,206,251.75,2646.33,205,214.33,401.5,449.5,185.5
Tatro_000240-T1,656.92,698.83,854.33,6866.25,779.17,844.83,1144.17,1107.33,593.33
