,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_003504-T1,348,338.5,342,3490.83,315,362.25,540.5,454,283
Tatro_003505-T1,2959.17,2798.5,2854.03,28592.67,2663.42,2933.5,5630.17,4913.67,2233
Tatro_003506-T1,132,200.5,269.5,1342.5,253.08,262.33,354,380,215
Tatro_003507-T1,465,432,528.08,4850.33,449.5,445.5,803,754.33,325.5
Tatro_003508-T1,2270.58,2598.17,2866.17,20482.42,2164.67,2457.58,4435.92,4168.33,2243.83
Tatro_003509-T1,183,139.5,170,1227.58,109,135.5,364.5,246.5,148.5
Tatro_003510-T1,11036.58,9239.58,10906.62,65917.15,6388.67,6397,10659.58,9245.67,5110.42
Tatro_003511-T1,656.33,602,762.83,7020,784.33,965,1337,1086,503.75
Tatro_003512-T1,391.67,269.7,405.5,10356.92,885.83,1018,1647.83,1472.33,661.5
Tatro_003513-T1,6,8,9,97.5,5,7.5,17.5,27.2,7
Tatro_003514-T1,491.33,387.5,664.67,4843.75,401,477.5,848.83,832.5,401.5
Tatro_003515-T1,5,5,14,72,12,10,19.5,14,9
Tatro_003516-T1,43.5,38.17,52.83,383.17,38.5,40.67,75.08,73,38.5
Tatro_003516-T2,43.5,38.17,52.83,383.17,38.5,40.67,75.08,73,38.5
Tatro_003517-T1,2042.08,970.58,1056.25,9802.45,849.67,869.5,3798.75,3091.17,1561
Tatro_003518-T1,1,0,3,8.5,0,1,10,4,7
Tatro_003519-T1,3527.33,3634.17,3682.33,32093.78,2877.92,2974.25,5924.92,5455.5,2587.83
Tatro_003520-T1,277.17,237,218,1855,188.5,186.5,378.5,394.83,189.5
Tatro_003521-T1,445.83,491.83,353.33,752.83,98.5,88,172.83,153.5,69.5
Tatro_003522-T1,127.83,164,164.83,722.83,89,87,125.33,128,62
Tatro_003523-T1,1502.25,1452.08,1670.17,11936.67,1146.58,1265.5,2089.5,1830.83,960.5
Tatro_003524-T1,1060.5,961,1057,11627.17,802,839.83,1688,1499,658.5
Tatro_003525-T1,260.5,282.17,285.67,2176.42,266.33,343.67,606.33,495.33,274.33
Tatro_003526-T1,57,52.33,74.67,473.33,59.33,70.67,108.33,98.33,49.83
Tatro_003527-T1,621.5,483.5,550,5328.75,423,476.5,871,790.5,362.5
Tatro_003528-T1,416,419,435,3634.33,389.5,381.33,654.33,577.5,306
Tatro_003529-T1,3,7,1,36.5,3,3,6,6,3
Tatro_003530-T1,1,1.5,0,1,0,4,1,0,0
Tatro_003531-T1,1,1,2,60.5,4.5,6,4,18,9
Tatro_003532-T1,0,0,0,1,0,0,0,0,0
Tatro_003533-T1,192,193.75,216.83,2453.25,246.83,260.5,289,288,104
Tatro_003534-T1,191.67,175,205.5,2697.67,294,299,399.5,327,195.5
Tatro_003535-T1,411.5,452.42,484.5,3992.25,388.25,423.5,581.83,524.33,238.5
Tatro_003536-T1,3028.67,3468,4128.33,47467.95,4620.4,4960.67,3110.5,2817.17,1312
Tatro_003537-T1,1628.58,1764.83,1938.75,14077.08,1287.83,1451.67,1555,1497.33,739.5
Tatro_003538-T1,308,294.5,310,2205.08,190.25,224,364,346.5,165
Tatro_003539-T1,92,90.5,89.33,1204,134.5,138,156,135,58.5
Tatro_003540-T1,53.17,46.67,45.67,646.5,62.33,62.83,64,59.83,40.5
Tatro_003540-T2,53.17,46.67,45.67,646.5,62.33,62.83,64,59.83,40.5
Tatro_003541-T1,65.5,45.5,47.5,774.5,75.33,75.5,167.5,164,66.5
Tatro_003542-T1,151.5,123,128.5,1775.83,127,144.83,280,255,133
Tatro_003543-T1,426,336,431.67,2847.25,302.5,300,576.5,527.5,268
Tatro_003544-T1,851,801.83,784,6827.58,685.5,725.67,2133.67,2019.33,908.83
Tatro_003545-T1,878.83,675,838,5412.83,571.33,580.83,1484.83,1279,682.5
Tatro_003546-T1,924.33,864.5,961.33,8011.58,665,752,1255.83,1141,552.5
Tatro_003547-T1,496,486.5,501.25,4895.42,488.33,544.83,1117.5,1073.17,590.5
Tatro_003548-T1,284.33,299,295.5,1678.33,223.5,228,409,373,207
Tatro_003549-T1,690.33,546.21,594.5,2672.08,336,317,719.08,644.5,387
Tatro_003550-T1,1004,998.83,954.5,12371.17,1321.08,1517.5,1757,1487.5,750.83
Tatro_003551-T1,274.5,263,306,3544.83,371,427.5,894.83,795.5,362.5
Tatro_003552-T1,2,3,5,38,1.5,2,8,10,3
Tatro_003553-T1,12,4,1,28.5,6,4,3,6,4
Tatro_003554-T1,336.5,260.08,407.5,1812.67,163.33,175.5,258.5,286,175.5
Tatro_003555-T1,5590.44,5403.83,6381.42,54220.91,4736.42,4978.5,7346.42,6850.33,3379.67
Tatro_003556-T1,605,818.83,722,5585.33,1240.5,1043,2054.5,1949.58,1027.33
Tatro_003557-T1,1072.33,958,1008.5,10809.17,1134.5,1162.83,2155.33,1843.25,969
Tatro_003558-T1,1,0,1,18.5,2,5,1,1,1
Tatro_012405-T1,9,8,0,249.92,26.83,35.83,59.33,47.5,26
Tatro_003559-T1,5,3,0,120.17,16.83,22.83,32.33,23,17.5
Tatro_003560-T1,98,75,124.5,562.33,68.5,100,32,22.5,19
Tatro_003561-T1,105,133,188,1192.5,116.33,133,231.5,250.33,104
Tatro_003562-T1,152.5,168,148,1160,127.5,132,166,142.33,76
Tatro_003563-T1,20611.92,20243.33,45803.83,237590.2,19357.42,23246.28,23292.42,23619.5,11606.62
Tatro_003564-T1,1951.83,1734.42,1632,13561.46,1613.83,1703.75,2331.83,1629.25,1088
Tatro_003565-T1,519.5,525.33,547.5,3940.5,476.5,525.5,839.83,748,379.5
Tatro_003566-T1,1465.5,1210.5,1403.17,15217.67,1349.17,1364.83,2854.83,2460.42,1231
Tatro_003567-T1,1234.33,1256.67,1521.83,12299.05,1274.33,1412.5,2600,2502.75,1293.17
Tatro_003568-T1,1237.83,1463,1594.17,8765.75,1381.83,1544.5,2882.5,2534.75,1410.33
Tatro_003569-T1,7358.17,6442.67,7377,82612.78,6205.17,6578.33,23633,21895.08,9625.83
Tatro_003570-T1,2,3,1,29.5,0,5,3,6,4
Tatro_003571-T1,816,695.17,858.5,10440.75,799,878.33,1472.75,1322.83,543.83
Tatro_003572-T1,1498.58,1144.08,2579.33,23834.79,2312.25,2427.83,3209.42,3408.75,1810.5
Tatro_003573-T1,4,6,4,8,4,2,2,3.5,0
Tatro_003574-T1,607.17,718,737.17,9447.53,1171,1237.75,3647.17,3481.83,1722.83
Tatro_003575-T1,5.5,4,5.5,151,8,8.5,27,29,15.5
Tatro_003576-T1,880.03,696.5,717,7556.67,634.5,637.5,1345.83,1224,575
Tatro_003577-T1,358.5,431.17,398.75,1734.67,320.5,363.5,678.03,604,283.75
Tatro_003578-T1,3,4,9,50,7,4,9.5,13,5
Tatro_003579-T1,597,510.58,648.83,6877.92,522.5,560,884,823,415
Tatro_003580-T1,95.5,69.5,76.5,678.5,38.5,41.5,87.5,73.5,30
Tatro_003581-T1,47,55.5,42.5,459.17,40.83,45,50,60,18.33
Tatro_003582-T1,1535.25,1310.17,842,11226.86,827.37,917,1201.33,1109.75,501.33
Tatro_003582-T2,1535.25,1310.17,842,11226.86,827.37,917,1201.33,1109.75,501.33
Tatro_003583-T1,6,7,1,12,5,1,3,3,0
Tatro_003584-T1,4,7,3,33.5,2,11,6,13,1
Tatro_003585-T1,94.5,99,105,827.83,96.5,89,177.5,155,74
Tatro_003586-T1,1550,1303,1420.58,12794.42,1082,1075.33,2114.67,1886.17,811
Tatro_003587-T1,590.83,503,564.5,5461.5,491,533.83,954.25,941.5,393.5
Tatro_003588-T1,224,256,253,733.83,147,151,288.5,207,108.5
Tatro_003589-T1,368.5,320,307.5,4516.33,362,378.5,601.5,537.33,250.5
Tatro_003590-T1,2913.17,2597.67,1926.5,15307.08,1234.5,1216,2825.33,2457.5,1086
Tatro_003591-T1,48.5,53,37,209,34,27.5,48.5,54.5,27
Tatro_003592-T1,5.5,14,15,103,12,9,18,15,5
Tatro_003593-T1,18,13,14,186.83,14.5,19.5,37,43,12.5
Tatro_003594-T1,1247.33,1152.33,1166.5,13070.04,1188.5,1225.5,3252.17,2735.58,1536
Tatro_003595-T1,455.5,347.08,411.83,3862.33,229,282.5,648.33,644.75,289.5
Tatro_003596-T1,403.75,442.33,460.33,3602.92,464,511.75,374,332.83,173
Tatro_003598-T1,2,4,3,26.5,9,3,6,9,2
Tatro_003599-T1,1978,1857.33,2030.08,13310.75,1901.67,1929.17,2802.67,2370.5,1354.75
Tatro_003600-T1,470.5,438.5,597.75,2657.33,402,438.5,896.5,805.33,377
Tatro_003601-T1,306.5,401,539.5,3785.33,510,482.5,1763.17,1818.67,861
Tatro_003602-T1,279,316,324,3143.83,263,317,671.5,654,308
Tatro_003603-T1,436.83,396.17,501,2281,338.5,362,1026,920,609.5
Tatro_003604-T1,1063.83,1146.25,1092.25,8544.83,961.83,900.5,2440.58,2230.5,1203.33
Tatro_003605-T1,12237.08,11819.95,12947.58,78090.12,7558.92,7671.83,12568.75,10693.83,5928.42
Tatro_003606-T1,1028.5,914.5,1397.5,5744.42,651.83,683.5,1806.33,1598.08,924.33
Tatro_003607-T1,568.5,477,494,3006.83,291,313,749,591,329.5
Tatro_003609-T1,5522.58,4288.95,4411.83,23389.58,2275.83,2274.75,9881.42,8831.75,4409.67
Tatro_003610-T1,656,782.87,1039.33,3474.75,617.17,622.83,1528,1397.58,858.33
Tatro_003611-T1,1188.33,1064.33,1325.5,6915.58,862.67,877.5,1716.5,1477.83,816.17
Tatro_003612-T1,6,1.5,5,69.5,6,7,10,19,10
Tatro_003613-T1,3,4,3,31,3,2,6,7,5
Tatro_003614-T1,889.17,828,858.83,4706.67,460.33,474.25,867,810.5,375
Tatro_003615-T1,780.17,707.5,733.75,8687.33,814.33,782.83,1605.33,1436,673.5
Tatro_003616-T1,1877.67,1575.67,1737.83,17030,1804.17,1828.17,3376.7,2723.5,1519.5
Tatro_003617-T1,865.5,879.08,740,9329.07,829.5,886.83,1675.33,1569.5,747.5
Tatro_003618-T1,617,638.5,575.17,6008.62,596,649.33,1072,1059.75,467
Tatro_003619-T1,1979.42,1501.42,1373.83,10522.17,1193.83,1241.5,3262.21,2738.92,1566
Tatro_003620-T1,216.5,148.58,149.5,3408.58,281.5,289,468.5,445.67,226
Tatro_003621-T1,952.33,1005.83,1152,7084.83,799,899.67,1278.33,1199.5,618.5
Tatro_003622-T1,490,530.5,495,3369.42,339.5,281.83,598.83,464.5,268.5
Tatro_003623-T1,1345,1418.17,1590.67,6371.17,622.7,701.83,2035.5,2086.08,987.5
Tatro_003624-T1,843.5,820.83,854,6895.5,631,694.83,1046.5,972.5,437.5
Tatro_003625-T1,648,649,699.5,5061.75,532.33,600.5,868,768,429.5
Tatro_003626-T1,185,147,185,1651.33,173,189.5,410,332.5,158
Tatro_003627-T1,777.08,671.92,850,13859.17,946.03,1068,1303.17,1233,560.5
Tatro_003628-T1,646,498.33,656.17,5478.25,467,477.5,1004.17,946.5,424
Tatro_003629-T1,1203.83,1243.5,1715.5,9170.58,923.83,1035.25,1571.08,1582.83,878
Tatro_003630-T1,664.75,637.75,649.33,6849.92,655.5,722,1159.67,1166.58,576.83
Tatro_003631-T1,1439.33,1019.58,1187,14743.95,1113.5,1292.33,2261.17,2174.67,1063.33
Tatro_003632-T1,6143,4598.5,4944.75,47988.79,3435.33,3413.42,22910.58,21858,10654.58
Tatro_003633-T1,190.5,150,205.5,1990.42,172,176.5,594.5,441,230
Tatro_003634-T1,453.33,334.83,573,6320.08,531.5,568,1369.67,1192.08,585.5
Tatro_003635-T1,122,134,125,1415.75,122.5,135.5,267.5,243,91.5
Tatro_003636-T1,903.5,782.5,983.08,8446.75,810.5,828.5,1591,1412.5,697.5
Tatro_003637-T1,2183.83,1862,1948.75,27440.53,2237.83,2457,4093.5,3769.08,1727.83
Tatro_003638-T1,4,10,9,88,18,10,9,7,9
Tatro_003639-T1,523.83,369.5,436.5,3560.83,278,325.5,673.5,641.33,273.83
Tatro_003640-T1,188.17,186.5,183,1581,151,127.5,254,255,105.5
Tatro_003641-T1,109.5,77,109.5,818.25,94.5,82.5,193,158.5,76
Tatro_003642-T1,509.33,539,697.5,2098.92,225.5,232,255.5,272,130
Tatro_003643-T1,10.5,12,12,574.08,48.5,49.5,115,120.5,58.5
Tatro_003644-T1,23.5,17.5,23.5,843.33,79,84.5,561.83,570.5,281.5
Tatro_003645-T1,2302,2723,2319.5,21912,2434.5,2503.5,4599.83,4066.5,2164
Tatro_003646-T1,41,52.5,33.5,411.5,45,38,45.5,47.5,30.5
Tatro_003647-T1,567.33,540,581,4378.83,418.5,430.5,1031,885,480.5
Tatro_003648-T1,1523.33,1524.33,1577.83,15779.25,1712.83,1700.33,2565,2237,1114.83
Tatro_003649-T1,51,40.25,24,1119.58,85,91.5,73,58,38.5
Tatro_003650-T1,993.83,981,1336.67,10246.58,1156.5,1258.5,1792,1625,809.5
Tatro_003651-T1,4318.08,3408.25,4225.33,42772.78,3476.17,3719.33,5858.67,5390.08,2494.83
Tatro_003652-T1,1941,1667.17,1781,17967.58,1377,1564,3375.37,3198.17,1373.5
Tatro_003653-T1,405.33,290,315.5,2518.58,210.5,244,346.33,379.5,193
Tatro_003654-T1,22,30.5,23.25,307.5,43.5,45,71.5,55,37.5
Tatro_003655-T1,2677.33,4575.17,381,64574.33,4725.87,5244.08,875.33,709.5,361.83
Tatro_003656-T1,2860.42,2427.58,2591.17,17964.7,1890.08,1781.25,2234.33,2000.33,1105.75
Tatro_003657-T1,858.33,758.83,866.83,6511,699.33,614.5,1805.83,1583,825.5
Tatro_003658-T1,235,299,250.83,1142.75,160.5,182.75,310,299.17,166.83
Tatro_003659-T1,921.75,734.5,779,8349.37,639.67,758.75,1149,1072.33,472.5
Tatro_003660-T1,124.5,143.5,119.5,788.5,87,109.5,428,375.5,160
Tatro_003661-T1,541.5,540.5,820.33,2461.75,429.5,388.5,1076.25,819.5,515.25
Tatro_003662-T1,814.83,754.33,900,9673,984.33,1057,2245.5,2017,1003.5
Tatro_003663-T1,5494.17,5121.33,8474.58,21964.95,4041.58,3919,6127.67,5597.58,3638.33
Tatro_003664-T1,525.5,538.5,495,6147.08,764,827,1041.83,939.33,518.5
Tatro_003665-T1,1042,863,980.33,8216.12,791.08,841,1551,1418.33,750.83
Tatro_003666-T1,170.5,116,114,379.33,33.5,55.5,174,151.2,75.5
Tatro_003667-T1,217.5,213.17,259.5,1893.83,161.5,178.5,421,409.5,180.5
Tatro_003668-T1,74.5,63.5,70,646,34,64,95.5,93,47.5
Tatro_003669-T1,144.67,186.5,179.5,901.5,165.5,178.5,333,293.5,187.5
Tatro_003670-T1,193.5,162,180.5,2285,166.5,182.33,424.5,387,186.5
Tatro_003671-T1,87.5,49,57,650.5,44.5,64,108.5,106,51
Tatro_003672-T1,517,305.83,335,1715.08,198.83,204.58,1580.83,1283.83,747.25
Tatro_003673-T1,2284.33,2521.33,3417.5,21443.58,2395.33,2492.83,3629,3232.67,1659.33
Tatro_003674-T1,540.92,475.17,201,5913,562.17,629.42,731.33,736.5,314
Tatro_003675-T1,5697.92,4326.33,1920.5,56982.32,5148.67,5371.58,7268.5,6330.83,3047.33
Tatro_003676-T1,551,556,260.33,7219.08,608.5,579.5,756.33,704.5,303.5
Tatro_003677-T1,8871.62,8654.7,7995.25,56626.24,5553.83,5610.83,13327.42,12110.92,5841.67
Tatro_003678-T1,418.5,437.5,346.83,2380.5,229,238,574,507.5,237
Tatro_003679-T1,962,847.83,1011,9809.83,781.5,916.25,1726.83,1705.12,801.83
Tatro_003680-T1,166.33,133,191,2133.42,124,145.5,247.33,249.5,103.33
Tatro_003681-T1,0,0,0,0,0,1,0,0,0
Tatro_003682-T1,467,408.25,433.83,4768,469,473.5,933.67,924,386
Tatro_003683-T1,67.5,97.5,87,532.33,70,91.5,189.17,111.5,62.5
Tatro_003684-T1,122.5,139.5,135.25,881,125.33,130.5,245.5,232.5,127
Tatro_003685-T1,265.5,266,277.5,2590.25,248.5,259.25,382,373,165.5
Tatro_003686-T1,797.83,708.83,989.17,6155.58,643.25,668,1004,847.5,416
Tatro_003687-T1,9,12,24,155.08,18,16,14,17,9
Tatro_003688-T1,146.5,145.5,189.5,2075.17,217.5,215,352.5,344.5,190.5
Tatro_003689-T1,807.5,648.25,869.83,5344.42,572.5,619.5,1533.25,1348.83,710
Tatro_003690-T1,694.33,714.83,694,6194.92,549.67,675.58,1147.03,1085.83,475.33
Tatro_003691-T1,560.33,536.67,600.5,4633.92,448.67,424.33,919.92,828.83,401.5
Tatro_003692-T1,10732.17,9856.2,11842.83,71927.77,6947.5,7466.5,10306.95,9308,4708.08
Tatro_003693-T1,1244,2020.58,2126.92,9515.37,1514.25,1471.67,1937.7,1685,863.5
Tatro_003694-T1,2661.5,2325.83,1984,22644.33,1924.17,2299.75,1482.17,1442.83,649.33
Tatro_003695-T1,1889,1842.5,1928.67,17828.95,1749,1888.5,3679.5,3348.92,1575.83
Tatro_003696-T1,437,414.83,394.17,2723.33,253,327.5,724.25,722.5,388.5
Tatro_003697-T1,24,30.83,27,289.5,27,22,75.5,82.5,30
Tatro_003698-T1,16.5,18.5,37.5,231.5,23,19.5,61,53,29
Tatro_003699-T1,1727.83,1482.92,1622.5,20112.37,1495,1489.75,3276.83,2998.42,1427.42
Tatro_003700-T1,309,314,395,2727.83,290,311.5,784,729.5,365.5
Tatro_003701-T1,2832.33,2426.46,2669.58,23469.07,1857.83,2071,4258.5,3969.17,1881.83
Tatro_003702-T1,393.33,379.75,388.92,4701.33,428.83,463,788.5,707.67,285
Tatro_003703-T1,1015,1115.83,1157.5,10621.78,1019.25,1150,1795.5,1579.83,740.5
Tatro_003704-T1,0,0,0,3,0,0,0,0,0
Tatro_003705-T1,508,530.5,892.25,3011.83,383,421.5,239.5,208.5,94
Tatro_003706-T1,85.5,112.5,66,1760.08,190,181,397,373,168
Tatro_003707-T1,401.5,376,328.5,3750.2,374.5,383.5,876,831.5,337
Tatro_003708-T1,59,58.83,66.5,1262.17,94,123.5,176,155,65
Tatro_003710-T1,994.5,847,979.5,10994.67,1085.33,1086.33,1817.33,1761.5,792
Tatro_003711-T1,1,1,0,6,1,0,2,1,0
Tatro_003712-T1,0,3,0,4,1,2,3,1,2
Tatro_003713-T1,672.83,300.08,144,5798.75,700.5,900,2170.92,1846.58,835.75
Tatro_003714-T1,911,980.25,1239.83,11399.2,1295.5,1364,2758.5,2691.33,1262.58
Tatro_003715-T1,1347,1195.83,1388,14026.7,1149.5,1208,2432,2291.67,1027
Tatro_003716-T1,514.5,366.75,429,3942.17,325.5,329,499.5,451.5,262.83
Tatro_003717-T1,318.78,248.92,304.17,2813.58,240.25,245.33,494.42,433.5,207.33
Tatro_003718-T1,150.28,121.42,165.67,1200.83,113.42,119.83,298.92,273.17,136.83
Tatro_003719-T1,4.5,6,3.5,95,10,10,43,36.5,15
Tatro_003721-T1,499.33,521.5,526.5,7370,745,805.5,1255.5,1181,508
Tatro_003723-T1,836.83,861,930,8954.83,917,1074,2213,1972,920.5
Tatro_003724-T1,2805.5,2638.42,2471.17,29045.28,2337.75,2420.5,4663.75,4188.37,1954
Tatro_003725-T1,521,442.83,494,4153.7,381.83,398.83,697.67,620.5,264.5
Tatro_003726-T1,1254.5,1035.5,1161.83,5142.42,623.75,688.5,5040.25,4404.33,2183.08
Tatro_003727-T1,188,220.75,221,1767.75,166.5,218,506,482.83,203.5
Tatro_003728-T1,1986.58,1978,1890.17,9736.75,1093.5,1184.33,11703.7,10038,5178.42
Tatro_003729-T1,3377.28,2896.58,3009.08,29886.32,2219.33,2596.67,5614.75,5189.25,2288.67
Tatro_003730-T1,1313.17,1212.33,1225.17,11551.08,1099.25,1139,1835.17,1605.5,748.5
Tatro_003731-T1,219.83,206,198,3581.75,337,364.5,635.5,555.25,245.5
Tatro_003732-T1,248,217,271.83,1694.83,172,203,372.5,321,168
Tatro_003733-T1,13,16,26.5,183.5,27.5,19,60.5,56,29.5
Tatro_003734-T1,215,226.5,222.5,2169,178,220,382.33,400.5,177
Tatro_003735-T1,211,186,199.5,2308.67,211.5,224,357,366.5,170
Tatro_003736-T1,7.5,7,7,95.5,7,6,31,18,9
Tatro_003737-T1,2,1.5,1,20.5,1,3,3,4,1
Tatro_003738-T1,1183.75,928.5,1118.33,13189.33,948.83,1034.5,1600.5,1566.5,690.5
Tatro_003739-T1,2000.25,1620.08,1617.33,16124.83,1315.5,1287,2831.83,2533.58,1192.33
Tatro_003740-T1,603.33,575,892,5651.33,706.33,701.5,1719.17,1438,875
Tatro_003741-T1,497.5,447.5,509.5,2152.58,281.5,266.5,325.5,216,151
Tatro_003742-T1,6484.67,5280.5,6359.58,37585.2,3262.83,3378.75,5399.92,4885,2510.83
Tatro_003744-T1,1087.83,877.33,932.17,9310.54,814.33,886.33,1654,1452.5,697.17
Tatro_003743-T1,274.5,233.83,289.33,2256.83,205.5,242.5,480,453.5,222.17
Tatro_003745-T1,12608.92,12432.67,14271.58,133955.1,12884.92,13962.67,20148.33,17794.25,8591.67
Tatro_003746-T1,4,4,3,76.5,7,6,21,20.5,6
Tatro_003747-T1,0,2,2,7,0,3,2.5,1,0
Tatro_003748-T1,4447.83,4378.17,5135.67,45282.07,4735.78,4979.67,8323.67,7289.42,3989.33
Tatro_003749-T1,992.25,988.5,1145,9394.08,941.83,952.67,1805.5,1561.33,766.5
Tatro_003750-T1,342.08,278.83,302.17,2602.42,247.33,260.67,466.92,418.17,215
Tatro_003750-T2,342.08,278.83,302.17,2602.42,247.33,260.67,466.92,418.17,215
Tatro_003752-T1,2890.92,2942.87,2767.33,19709.02,2179.17,2279.08,3390.2,2763.17,1467.17
Tatro_003753-T1,1814.25,1131.33,1675.67,14897.08,1074.33,1218.75,2267.5,2069.17,1057.5
Tatro_003754-T1,587,572,626.5,5189.37,455,498.5,1030,894,410.5
Tatro_003755-T1,80.5,118.33,70,1420.83,142.5,169,1025,995.5,460.5
Tatro_003756-T1,1,0,0,8,1.5,0,5,4,3
Tatro_003757-T1,23.5,27,21,85.5,4.5,11,18,13,11
Tatro_003759-T1,799.25,597.5,931.25,7319.75,649.83,692.5,1493.5,1371.5,650.33
Tatro_003760-T1,5,5,8,71.5,9,7,13,8,6
Tatro_003761-T1,3,0,1,9,2,0,5,4.5,3
Tatro_003762-T1,15,13,17.5,354.83,49.5,40.5,66.5,81,49
Tatro_003763-T1,36,48,23,814.17,100,87,209,196.25,106.5
Tatro_003764-T1,126.5,125.5,123.5,1241.08,115.5,106,254,297.5,124
Tatro_003765-T1,497.5,460.5,408.33,4540.5,369.5,355,862,830,329.5
Tatro_003766-T1,101,135,108,1414.83,196.5,187.5,406.5,358.5,193.5
Tatro_003767-T1,199,174.5,133.17,1912.5,172.33,191.5,523.5,498.42,268.17
Tatro_003767-T2,199,174.5,133.17,1912.5,172.33,191.5,523.5,498.42,268.17
Tatro_003768-T1,326,316,272.5,2629.42,250.33,274.83,565.5,559.83,290
Tatro_003769-T1,402.83,423.83,407,3937.5,468.33,522.5,926.25,843.5,476
Tatro_003770-T1,3408.17,3239.83,3605.33,30587.46,2630.15,2709.17,5406.67,5040.33,2347.67
Tatro_003771-T1,5175.08,3880.57,4834.42,33408.9,3284.03,3473.31,4494.98,3674.04,2228.35
Tatro_003771-T2,5175.08,3880.57,4834.42,33408.9,3284.03,3473.31,4494.98,3674.04,2228.35
Tatro_003771-T3,5175.08,3880.57,4834.42,33408.9,3284.03,3473.31,4494.98,3674.04,2228.35
Tatro_003772-T1,1304.5,941.17,1105.33,9690,832.5,876.25,1730.5,1501.5,802.5
Tatro_003773-T1,254,208,280.5,2491,209.5,225.5,493.5,427.5,194
Tatro_003774-T1,358.17,479.5,680.33,2859,375.67,397.5,1000.33,893.83,546
Tatro_003776-T1,239,215,195.5,3858.58,447.33,572.5,893.5,708.5,384.5
Tatro_003777-T1,116,113.5,115,1445.33,185.33,161.5,421.25,399.5,177.5
Tatro_003778-T1,457,391.5,536.5,5606.17,509.5,550.5,722.5,585.75,234.5
Tatro_003779-T1,50,56,75.5,263,35.5,43,25.5,19,10
Tatro_003780-T1,20,29,20,148.25,13,13,41.5,26,14
Tatro_003781-T1,11,20,9,204.17,21.5,21.75,55.42,49,22.5
Tatro_003781-T2,11,20,9,204.17,21.5,21.75,55.42,49,22.5
Tatro_003782-T1,409.33,434.92,501.33,3583.83,412.08,446.08,727.42,636.83,338.5
Tatro_003782-T2,409.33,434.92,501.33,3583.83,412.08,446.08,727.42,636.83,338.5
Tatro_003783-T1,92.33,96.5,30,3834.33,358.67,383,505.67,431.33,183.5
Tatro_003784-T1,43.5,39,51.5,599,70.5,78.5,81,84,34
Tatro_003785-T1,26.5,20,47,866.33,70,86.5,454,471,198
Tatro_003786-T1,2122.83,2116.42,2311.67,11751.95,1148.5,1203.5,2171.75,2286.17,1052.67
Tatro_003787-T1,70.5,49,48,253,29,27,32.5,25,12
Tatro_003788-T1,14,11,13.5,86.33,12,4,15.5,24,13.5
Tatro_003789-T1,508.5,544,492.33,3149.58,317.5,356.5,841.5,695,385.5
Tatro_003790-T1,68,59.5,63.5,162.5,14.5,19.5,44.5,61.5,35.5
Tatro_003791-T1,238,275,332.5,2003.75,275,290,1090.83,1152.5,563
Tatro_003792-T1,1180.83,1008,857,9892.92,804,805,2652.83,2471,1005
Tatro_003793-T1,32566.11,44444.73,49898.23,797138.4,86557.49,84525.91,202557.2,169483.9,99867.66
Tatro_003794-T1,2336.17,1782.42,2411,24187.67,1759.83,1783,428.25,360,161.5
Tatro_003795-T1,5664.08,3991.5,6916.25,90309.85,7723,7829.83,255.58,241,101.5
Tatro_003796-T1,0,6,6,81,1,5,11,10,5
Tatro_003797-T1,654.33,633,751.75,8683.5,770.33,895.58,257,307.33,149
Tatro_003798-T1,1332.5,1177.5,1330.17,13002.33,1109.5,1189.83,1697,1623.5,728.5
Tatro_003799-T1,196.5,200,227.5,1035.5,104.5,102.5,212.5,223,106.5
Tatro_003800-T1,1,1,3,60.5,9,5,2,2,5
Tatro_003801-T1,0,0,0,1,0,0,0,0,0
Tatro_003802-T1,16876.67,13650.17,27240.42,159339,12280.5,13205,26207.95,24793.75,11942.42
Tatro_003803-T1,83.5,83.5,126.58,419,49,45.5,52.5,61.5,31.33
Tatro_003804-T1,747,668.25,751,4632.87,574.75,565.5,696.5,605.83,324.83
Tatro_003805-T1,508,544.17,580.83,3725,493.33,562.5,1229.83,1065.33,623.33
Tatro_003806-T1,0,0,0,1,0,0,1,1,0
Tatro_003807-T1,0,1,0,0,0,0,1,0,0
Tatro_003808-T1,397.5,348,337.33,4498.03,413,440.5,651,656.83,295.83
Tatro_003809-T1,1089.83,1265.58,1172.2,31611.5,3149.58,3471.5,2345.5,2007,942
Tatro_003810-T1,609.5,596.17,743.17,7195.92,704,845.5,1225.75,1080.83,480
Tatro_003811-T1,103.5,89,131.33,680,84,63.5,161,142.5,63
Tatro_003812-T1,1087.92,1113.5,1232,11174.37,1021.75,1077.83,2429.33,2228.75,1129.75
Tatro_003813-T1,287,266,334.33,2122.33,180.83,171.83,407.42,385,175.5
Tatro_003814-T1,2440.75,2398.92,3166.17,19981.32,2014.5,1983,3894.92,3416.33,1592.83
Tatro_003815-T1,15,12.5,37,121.5,13.5,8.5,27,27,13.5
Tatro_003816-T1,11.5,16,21,109.83,15.5,16,35.5,23,14
Tatro_003817-T1,2387.75,2380.33,2665.03,24881.55,2374,2537.5,4952.17,4360.58,2070
Tatro_003818-T1,242.83,250.33,291,2613.17,256.25,329.5,623.5,633.78,330.5
